"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The Open procedure for service ""BITS"" in DLL ""C:\Windows\System32\bitsperf.dll"" failed with error code The system cannot find the file specified.. Performance data for this service will not be available.","1008","1",,"3","0","0","-9223372036854775808","5166","Microsoft-Windows-Perflib","13b197bd-7cee-4b4e-8dd0-59314ce374ce","Application","8172","19700","DESKTOP-2RE5SFE","S-1-5-18","3/21/2024 9:02:47 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Application 'C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE' (pid 16648) cannot be restarted - Application SID does not match Conductor SID..","10010","0",,"3","0","0","-9223372036854775808","3794","Microsoft-Windows-RestartManager","0888e5ef-9b98-4695-979d-e92ce4247224","Application","12408","9724","DESKTOP-2RE5SFE","S-1-5-18","2/19/2024 10:10:43 AM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Application 'C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\ai.exe' (pid 15812) cannot be restarted - Application SID does not match Conductor SID..","10010","0",,"3","0","0","-9223372036854775808","3761","Microsoft-Windows-RestartManager","0888e5ef-9b98-4695-979d-e92ce4247224","Application","13008","6844","DESKTOP-2RE5SFE","S-1-5-18","2/17/2024 5:25:55 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Application 'C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\ai.exe' (pid 17908) cannot be restarted - Application SID does not match Conductor SID..","10010","0",,"3","0","0","-9223372036854775808","3760","Microsoft-Windows-RestartManager","0888e5ef-9b98-4695-979d-e92ce4247224","Application","13008","6844","DESKTOP-2RE5SFE","S-1-5-18","2/17/2024 5:25:55 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Application 'C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE' (pid 15484) cannot be restarted - Application SID does not match Conductor SID..","10010","0",,"3","0","0","-9223372036854775808","3759","Microsoft-Windows-RestartManager","0888e5ef-9b98-4695-979d-e92ce4247224","Application","13008","6844","DESKTOP-2RE5SFE","S-1-5-18","2/17/2024 5:25:55 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Application 'C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE' (pid 16648) cannot be restarted - Application SID does not match Conductor SID..","10010","0",,"3","0","0","-9223372036854775808","3758","Microsoft-Windows-RestartManager","0888e5ef-9b98-4695-979d-e92ce4247224","Application","13008","6844","DESKTOP-2RE5SFE","S-1-5-18","2/17/2024 5:25:55 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Application 'C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE' (pid 7336) cannot be restarted - Application SID does not match Conductor SID..","10010","0",,"3","0","0","-9223372036854775808","3006","Microsoft-Windows-RestartManager","0888e5ef-9b98-4695-979d-e92ce4247224","Application","13212","16840","DESKTOP-2RE5SFE","S-1-5-18","2/4/2024 6:36:06 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Application 'C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE' (pid 7336) cannot be restarted - Application SID does not match Conductor SID..","10010","0",,"3","0","0","-9223372036854775808","2997","Microsoft-Windows-RestartManager","0888e5ef-9b98-4695-979d-e92ce4247224","Application","5804","1636","DESKTOP-2RE5SFE","S-1-5-18","2/4/2024 6:33:57 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Application 'C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE' (pid 7336) cannot be restarted - Application SID does not match Conductor SID..","10010","0",,"3","0","0","-9223372036854775808","2979","Microsoft-Windows-RestartManager","0888e5ef-9b98-4695-979d-e92ce4247224","Application","5844","6060","DESKTOP-2RE5SFE","S-1-5-18","2/3/2024 6:46:26 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Application 'C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE' (pid 7336) cannot be restarted - Application SID does not match Conductor SID..","10010","0",,"3","0","0","-9223372036854775808","2969","Microsoft-Windows-RestartManager","0888e5ef-9b98-4695-979d-e92ce4247224","Application","3256","7960","DESKTOP-2RE5SFE","S-1-5-18","2/3/2024 6:37:22 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Application 'C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE' (pid 7336) cannot be restarted - Application SID does not match Conductor SID..","10010","0",,"3","0","0","-9223372036854775808","2926","Microsoft-Windows-RestartManager","0888e5ef-9b98-4695-979d-e92ce4247224","Application","14988","13860","DESKTOP-2RE5SFE","S-1-5-18","2/2/2024 4:17:00 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Application 'C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE' (pid 7336) cannot be restarted - Application SID does not match Conductor SID..","10010","0",,"3","0","0","-9223372036854775808","2920","Microsoft-Windows-RestartManager","0888e5ef-9b98-4695-979d-e92ce4247224","Application","10648","4676","DESKTOP-2RE5SFE","S-1-5-18","2/2/2024 4:11:06 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Application 'C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE' (pid 2120) cannot be restarted - Application SID does not match Conductor SID..","10010","0",,"3","0","0","-9223372036854775808","2682","Microsoft-Windows-RestartManager","0888e5ef-9b98-4695-979d-e92ce4247224","Application","12632","7580","DESKTOP-2RE5SFE","S-1-5-18","1/31/2024 3:15:39 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Application 'C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE' (pid 2120) cannot be restarted - Application SID does not match Conductor SID..","10010","0",,"3","0","0","-9223372036854775808","2675","Microsoft-Windows-RestartManager","0888e5ef-9b98-4695-979d-e92ce4247224","Application","7416","11000","DESKTOP-2RE5SFE","S-1-5-18","1/31/2024 3:05:37 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Open procedure for service ""BITS"" in DLL ""C:\Windows\System32\bitsperf.dll"" failed with error code The system cannot find the file specified.. Performance data for this service will not be available.","1008","1",,"3","0","0","-9223372036854775808","2573","Microsoft-Windows-Perflib","13b197bd-7cee-4b4e-8dd0-59314ce374ce","Application","7572","15812","DESKTOP-2RE5SFE","S-1-5-18","1/30/2024 6:21:59 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The winlogon notification subscriber <TrustedInstaller> took 95 second(s) to handle the notification event (CreateSession).","6006","0","32768","3","0","0","36028797018963968","2293","Microsoft-Windows-Winlogon","dbe9b383-7cf3-4331-91cc-a3cb16a3b538","Application","0","0","DESKTOP-2RE5SFE",,"1/25/2024 9:25:55 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The winlogon notification subscriber <TrustedInstaller> is taking long time to handle the notification event (CreateSession).","6005","0","32768","3","0","0","36028797018963968","2292","Microsoft-Windows-Winlogon","dbe9b383-7cf3-4331-91cc-a3cb16a3b538","Application","0","0","DESKTOP-2RE5SFE",,"1/25/2024 9:25:19 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The winlogon notification subscriber <TrustedInstaller> took 96 second(s) to handle the notification event (CreateSession).","6006","0","32768","3","0","0","36028797018963968","2290","Microsoft-Windows-Winlogon","dbe9b383-7cf3-4331-91cc-a3cb16a3b538","Application","0","0","DESKTOP-2RE5SFE",,"1/25/2024 9:23:35 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The winlogon notification subscriber <TrustedInstaller> is taking long time to handle the notification event (CreateSession).","6005","0","32768","3","0","0","36028797018963968","2288","Microsoft-Windows-Winlogon","dbe9b383-7cf3-4331-91cc-a3cb16a3b538","Application","0","0","DESKTOP-2RE5SFE",,"1/25/2024 9:22:58 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The winlogon notification subscriber <TrustedInstaller> took 77 second(s) to handle the notification event (CreateSession).","6006","0","32768","3","0","0","36028797018963968","2281","Microsoft-Windows-Winlogon","dbe9b383-7cf3-4331-91cc-a3cb16a3b538","Application","0","0","DESKTOP-2RE5SFE",,"1/25/2024 9:21:26 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The winlogon notification subscriber <TrustedInstaller> is taking long time to handle the notification event (CreateSession).","6005","0","32768","3","0","0","36028797018963968","2277","Microsoft-Windows-Winlogon","dbe9b383-7cf3-4331-91cc-a3cb16a3b538","Application","0","0","DESKTOP-2RE5SFE",,"1/25/2024 9:21:08 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A provider, DMWmiBridgeProv1, has been registered in the Windows Management Instrumentation namespace root\cimv2\mdm\dmmap to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.","63","2",,"3","0","0","-9223372036854775808","2235","Microsoft-Windows-WMI","1edeee53-0afe-4609-b846-d8c0b2075b1f","Application","4008","5260","DESKTOP-2RE5SFE","S-1-5-18","1/25/2024 9:19:55 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A provider, DMWmiBridgeProv1, has been registered in the Windows Management Instrumentation namespace root\cimv2\mdm\dmmap to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.","63","2",,"3","0","0","-9223372036854775808","2234","Microsoft-Windows-WMI","1edeee53-0afe-4609-b846-d8c0b2075b1f","Application","4008","5260","DESKTOP-2RE5SFE","S-1-5-18","1/25/2024 9:19:55 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A provider, DMWmiBridgeProv1, has been registered in the Windows Management Instrumentation namespace root\cimv2\mdm\dmmap to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.","63","2",,"3","0","0","-9223372036854775808","2233","Microsoft-Windows-WMI","1edeee53-0afe-4609-b846-d8c0b2075b1f","Application","4008","6004","DESKTOP-2RE5SFE","S-1-5-18","1/25/2024 9:19:55 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A provider, DMWmiBridgeProv, has been registered in the Windows Management Instrumentation namespace root\cimv2\mdm\dmmap to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.","63","2",,"3","0","0","-9223372036854775808","2220","Microsoft-Windows-WMI","1edeee53-0afe-4609-b846-d8c0b2075b1f","Application","4008","4452","DESKTOP-2RE5SFE","S-1-5-18","1/25/2024 9:19:53 PM",,,"Application","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
